Rating,Price,Original_Price,Discount,Page,Brand,Model,number_of_ratings,number_of_reviews,RAM,Internal_storage
4.4,39999,49999,20%,1,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,1,Google, Pixel 9A,4870,334,8,256
4.1,7499,9999,25%,1,POCO, 128 GB,30602,1450,6,128
4.3,6999,9999,30%,1,Samsung, Galaxy F07,2647,136,4,64
4.4,39999,49999,20%,1,Google, Pixel 9A,4870,334,8,256
4.2,9999,12499,20%,1,MOTOROLA, g35 5G,117212,7254,4,128
4.3,6499,7999,18%,1,Ai, 64 GB,40425,2483,4,64
3.9,6799,8999,24%,1,POCO, 64 GB,54664,2462,4,64
4.4,14999,17999,16%,1,MOTOROLA, g57 power,6095,368,8,128
4.2,7299,9999,27%,1,MOTOROLA, 64 GB,75469,4605,4,64
4.1,9999,12999,23%,1,POCO, M7 5G,70470,3269,6,128
4.3,7249,8999,19%,1,realme, 64 GB,40868,1318,4,64
4.3,7999,9999,20%,1,MOTOROLA, g06 power,3685,252,4,64
3.9,6799,8999,24%,1,POCO, 64 GB,54664,2462,4,64
4.4,12999,14999,13%,1,vivo, T4 Lite,54305,1701,6,128
4.4,16999,18999,10%,1,MOTOROLA, g67 power,5221,315,8,128
4.4,15499,17999,13%,1,vivo, T4x 5G,198854,8775,6,128
4.4,16999,18999,10%,1,MOTOROLA, g67 power,5221,315,8,128
4.2,9999,12499,20%,1,MOTOROLA, g35 5G,117212,7254,4,128
4.2,8499,10999,22%,1,POCO, C75 5G,144471,6377,4,64
4.4,11999,13999,14%,1,vivo, T4 Lite,40115,1193,4,128
4.3,13499,19999,32%,1,REDMI, Note 14,21401,912,6,128
4.4,33999,37999,10%,1,POCO, F7 5G,19286,1876,12,512
4.1,7499,9999,25%,1,POCO, 128 GB,30602,1450,6,128
4.4,15499,17999,13%,2,vivo, T4x 5G,198854,8775,6,128
4.2,9999,12499,20%,2,MOTOROLA, g35 5G,117212,7254,4,128
4.4,39999,49999,20%,2,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,2,Google, Pixel 9A,4870,334,8,256
4.4,14999,17999,16%,2,MOTOROLA, g57 power,6095,368,8,128
4.3,17999,19999,10%,2,MOTOROLA, G86 Power,25203,1645,8,128
4.4,39999,49999,20%,2,Google, Pixel 9A,4870,334,8,256
4.3,10999,13999,21%,2,POCO, M7 5G,15304,742,8,128
4.3,12499,15499,19%,2,MOTOROLA, g35 5G,5844,274,8,128
4.4,11749,13999,16%,2,realme, P3 Lite,10295,417,6,128
4.4,22999,25999,11%,2,MOTOROLA, Edge 60,113807,5910,8,256
4.1,7499,9999,25%,2,POCO, 128 GB,30602,1450,6,128
4.5,22999,24999,8%,2,vivo, T4R 5G,50188,2250,8,256
4.3,17999,19999,10%,2,MOTOROLA, G86 Power,25203,1645,8,128
4.1,9999,12999,23%,2,POCO, M7 5G,70470,3269,6,128
4.4,18499,20999,11%,2,vivo, T4x 5G,148345,7016,8,256
4.0,11974,15499,22%,2,Samsung, M06 5G,702,52,6,128
4.3,6499,7999,18%,2,Ai, 64 GB,40425,2483,4,64
4.5,27999,32999,15%,2,vivo, T4 Pro,12488,793,8,128
4.2,9699,10999,11%,2,realme, 128 GB,7929,306,6,128
4.5,33926,34999,3%,2,OnePlus, Nord 5,1948,130,8,256
4.4,12499,15999,21%,2,OPPO, K13x 5G,21071,1619,4,128
4.4,22999,25999,11%,2,MOTOROLA, Edge 60,113807,5910,8,256
4.2,8499,10999,22%,2,POCO, C75 5G,144471,6377,4,64
4.4,12999,16999,23%,3,realme, P3x 5G,69374,2637,6,128
4.4,19999,22999,13%,3,MOTOROLA, G96 5G,79957,4017,8,256
4.4,39999,49999,20%,3,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,3,Google, Pixel 9A,4870,334,8,256
4.5,26999,29999,10%,3,Nothing, 256 GB,54065,3783,8,256
4.4,11749,13999,16%,3,realme, P3 Lite,10295,417,6,128
4.4,18999,22999,17%,3,CMF, by Nothing,65644,4533,8,128
4.5,22999,25999,11%,3,vivo, T4 5G,90515,4081,8,128
4.4,39999,49999,20%,3,Google, Pixel 9A,4870,334,8,256
4.4,15499,17999,13%,3,vivo, T4x 5G,198854,8775,6,128
4.5,20999,23499,10%,3,vivo, T4R 5G,50188,2250,8,128
4.5,13999,16999,17%,3,OPPO, K13x 5G,81016,6010,6,128
4.5,24999,49999,20%,3,OnePlus, Nord CE5,6204,343,8,128
4.3,12330,14999,17%,3,realme, Narzo 80,5811,228,6,128
4.4,19999,22999,13%,3,MOTOROLA, G96 5G,79957,4017,8,256
4.2,8999,11499,21%,3,POCO, C75 5G,144471,6377,4,128
4.3,13499,19999,32%,3,REDMI, Note 14,21401,912,6,128
4.3,13499,18999,28%,3,POCO, M7 Pro,34877,2523,6,128
4.4,18999,22999,17%,3,CMF, by Nothing,65644,4533,8,128
4.4,11999,13999,14%,3,vivo, T4 Lite,40115,1193,4,128
4.5,29999,34999,14%,3,vivo, T4 Pro,12488,793,8,256
4.5,19999,22999,13%,3,OPPO, K13 5G,73405,4402,8,128
4.3,15499,20999,26%,3,POCO, M7 Pro,13446,1107,8,256
4.3,7737,8999,14%,3,realme, 64 GB,650,24,4,64
4.3,13499,18999,28%,4,POCO, M7 Pro,34877,2523,6,128
4.3,16999,24999,32%,4,POCO, X7 5G,28239,2138,8,128
4.3,7249,8999,19%,4,realme, 64 GB,40868,1318,4,64
4.1,9999,12999,23%,4,POCO, M7 5G,70470,3269,6,128
4.4,39999,49999,20%,4,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,4,Google, Pixel 9A,4870,334,8,256
4.4,14999,17999,16%,4,MOTOROLA, g57 power,6095,368,8,128
4.4,13999,17999,22%,4,realme, P3x 5G,22949,950,8,128
4.4,39999,49999,20%,4,Google, Pixel 9A,4870,334,8,256
